aX,aY,aZ,gX,gY,gZ
0.085,0.528,0.815,22.339,20.752,-22.034
0.027,0.380,0.795,22.583,7.935,-12.024
-0.029,0.254,0.784,21.301,-5.737,-2.991
-0.111,0.164,0.766,20.935,-15.808,4.639
-0.163,0.078,0.754,23.743,-19.897,9.705
-0.133,0.105,0.720,28.320,-20.203,13.977
-0.158,0.238,0.683,33.264,-16.846,16.968
-0.162,0.278,0.699,39.368,-7.751,15.808
-0.140,0.304,0.736,43.823,2.869,16.235
-0.113,0.319,0.805,46.021,10.132,22.034
-0.048,0.253,0.866,48.340,10.681,30.884
-0.029,0.117,0.896,50.476,4.089,41.687
-0.028,-0.038,0.879,49.744,-6.409,52.063
-0.012,-0.135,0.842,44.617,-16.052,57.617
-0.008,-0.207,0.790,36.743,-24.780,56.396
-0.031,-0.237,0.750,26.306,-30.884,49.377
-0.058,-0.158,0.761,14.709,-29.419,39.246
-0.096,-0.088,0.830,7.874,-18.005,27.344
-0.062,-0.039,0.940,5.066,-2.319,16.052
-0.078,0.030,1.048,1.770,8.667,7.996
-0.102,0.083,1.154,0.916,12.695,3.113
-0.114,0.106,1.233,3.052,9.521,3.601
-0.152,0.113,1.240,7.446,0.305,8.972
-0.233,0.044,1.245,12.451,-11.169,15.076
-0.245,-0.057,1.215,15.137,-23.743,22.461
-0.184,-0.105,1.138,15.686,-35.278,30.823
-0.159,-0.113,1.055,13.306,-41.565,33.447
-0.157,-0.151,1.036,6.897,-37.537,27.466
-0.129,-0.145,1.050,-0.549,-26.306,17.517
-0.123,-0.066,1.089,-6.287,-12.390,6.836
-0.156,-0.003,1.162,-9.644,1.831,-3.967
-0.215,0.079,1.251,-10.803,12.085,-9.766
-0.282,0.164,1.356,-7.751,15.320,-5.981
-0.271,0.180,1.395,1.953,14.587,6.531
-0.209,0.152,1.362,15.015,9.460,21.667
-0.123,0.125,1.263,25.208,-1.648,33.813
-0.084,0.125,1.144,30.273,-11.902,39.978
-0.074,0.091,1.059,32.471,-15.869,39.612
-0.079,0.040,0.995,31.738,-14.282,36.743
-0.094,0.009,0.947,29.053,-10.437,32.471
-0.122,-0.005,0.934,24.719,-6.348,26.733
-0.139,-0.017,0.941,17.700,-2.258,21.851
-0.126,-0.016,0.953,9.583,0.183,18.921
-0.101,-0.002,0.962,2.869,1.160,16.357
-0.087,0.022,0.983,-2.136,1.770,13.184
-0.082,0.068,1.014,-3.357,3.357,9.949
-0.083,0.122,1.047,1.099,6.042,7.141
-0.073,0.156,1.050,9.949,8.606,4.700
-0.067,0.179,1.028,19.226,8.667,2.747
-0.060,0.195,0.990,24.719,5.737,2.075
-0.060,0.220,0.941,25.146,2.197,2.502
-0.077,0.238,0.896,20.630,-0.427,2.930
-0.089,0.254,0.867,12.512,-1.709,3.296
-0.100,0.281,0.861,3.601,-1.770,4.028
-0.119,0.286,0.892,-3.479,1.099,4.272
-0.116,0.288,0.926,-8.057,4.761,4.578
-0.115,0.305,0.970,-9.888,6.653,5.737
-0.108,0.293,1.011,-8.728,7.385,8.240
-0.081,0.266,1.030,-4.150,6.836,11.780
-0.047,0.238,1.017,1.587,3.235,13.855
-0.025,0.224,0.995,6.287,-1.831,13.489
-0.026,0.218,0.968,9.827,-4.822,10.742
-0.030,0.215,0.961,12.207,-5.066,6.470
-0.047,0.220,0.957,12.939,-4.944,3.296
-0.046,0.228,0.953,11.108,-5.066,1.282
-0.051,0.247,0.954,7.385,-4.883,-0.671
-0.062,0.263,0.963,2.869,-3.845,-2.747
-0.078,0.263,0.975,-1.648,-2.014,-3.601
-0.083,0.254,0.995,-5.066,-0.610,-3.479
-0.420,-0.729,1.576,-5.066,30.518,-3.601
-0.380,-0.821,1.560,-5.066,22.400,4.272
-0.339,-0.907,1.516,-4.211,11.353,13.367
-0.298,-0.969,1.457,-1.770,1.526,20.874
-0.269,-1.029,1.381,2.563,-5.188,25.146
-0.258,-1.079,1.299,7.568,-9.155,25.391
-0.258,-1.102,1.213,13.794,-9.399,21.240
-0.261,-1.092,1.115,19.348,-7.141,14.099
-0.248,-1.037,1.015,20.691,-4.211,6.104
-0.205,-0.934,0.923,16.418,-2.808,-0.366
-0.099,-0.792,0.806,9.277,-4.944,-1.953
0.050,-0.609,0.682,1.282,-11.719,-1.892
0.137,-0.391,0.574,-5.798,-20.569,-4.333
0.245,-0.157,0.462,-6.470,-24.292,-7.690
0.365,0.102,0.337,-0.916,-24.353,-11.353
0.459,0.295,0.214,1.587,-25.574,-16.602
0.582,0.481,0.078,-5.127,-32.776,-24.475
0.665,0.745,-0.022,-22.278,-49.744,-35.767
0.918,1.088,-0.215,-46.997,-66.589,-50.903
0.878,1.395,-0.282,-74.463,-86.853,-75.073
0.795,1.785,-0.352,-99.976,-80.200,-95.032
0.647,2.110,-0.259,-122.986,-35.461,-127.991
0.337,2.430,0.092,-141.052,30.518,-163.513
0.003,2.700,0.598,-152.710,96.191,-187.622
-0.368,2.784,1.146,-154.114,128.174,-192.993
