aX,aY,aZ,gX,gY,gZ
0.092,-0.509,1.074,-37.170,10.986,-3.967
0.095,-0.505,1.086,-27.527,7.385,-2.075
0.062,-0.507,1.064,-15.869,0.366,-0.488
0.027,-0.512,1.012,-5.676,-5.493,2.502
0.025,-0.501,0.960,1.160,-8.179,6.287
0.032,-0.497,0.907,2.502,-8.423,8.545
0.105,-0.497,0.936,-1.099,-6.104,8.728
0.052,-0.499,0.836,-6.897,-7.324,6.897
0.060,-0.522,0.850,-12.695,-1.587,5.127
0.082,-0.512,0.871,-17.029,1.953,3.601
0.094,-0.493,0.901,-18.982,3.052,2.502
0.072,-0.481,0.912,-17.761,3.540,0.549
-0.057,-0.507,2.460,95.947,5.554,-4.211
-0.221,-0.594,2.876,104.065,11.292,-3.540
-0.348,-0.607,3.301,121.826,32.166,5.737
-0.248,-0.467,3.461,169.250,61.890,25.208
-0.068,-0.431,3.339,239.807,82.336,42.419
-0.083,-0.497,2.935,299.194,75.317,51.453
-0.214,-0.556,2.379,342.834,54.626,59.875
-0.141,-0.556,1.981,368.286,47.119,64.575
-0.165,-0.656,1.677,365.784,45.349,67.932
-0.166,-0.642,1.501,346.191,53.833,69.397
-0.015,-0.551,1.428,332.031,60.364,66.895
0.000,-0.551,1.454,317.505,58.350,60.364
-0.094,-0.469,1.493,304.565,58.044,55.969
-0.101,-0.325,1.470,309.753,62.866,59.875
-0.083,-0.153,1.244,327.576,68.359,69.031
-0.034,-0.006,0.919,348.816,75.623,81.177
0.066,0.129,0.538,367.004,77.759,89.600
0.265,0.128,0.241,375.610,70.740,89.539
0.337,0.136,0.043,364.502,51.514,73.975
0.254,0.172,-0.007,341.736,27.405,59.326
0.223,0.222,-0.002,318.604,21.057,50.537
0.205,0.262,-0.030,301.270,28.015,45.593
0.178,0.288,-0.064,292.053,40.039,43.579
0.085,0.366,-0.158,286.438,52.673,45.410
0.109,0.409,-0.251,286.987,67.932,51.270
0.098,0.484,-0.383,289.307,81.238,54.688
0.107,0.512,-0.558,291.260,83.923,55.054
0.097,0.447,-0.731,285.461,82.275,55.420
0.001,0.398,-0.931,269.775,81.055,54.138
0.018,0.426,-1.136,252.686,82.336,52.368
0.046,0.494,-1.372,238.892,80.933,49.622
0.083,0.536,-1.625,226.746,65.796,43.762
-0.001,0.499,-1.895,207.886,41.199,36.316
-0.119,0.445,-2.082,173.279,27.771,28.870
-0.172,0.365,-2.174,128.601,33.325,24.841
-0.040,0.318,-2.148,85.510,42.542,26.428
0.068,0.316,-2.097,50.476,36.804,23.926
0.075,0.275,-2.086,22.339,10.559,13.306
0.049,0.184,-2.075,-7.202,-13.245,5.310
0.064,0.116,-2.020,-42.175,-20.203,3.967
0.147,0.105,-1.916,-79.102,-18.372,5.310
0.296,0.140,-1.767,-112.000,-18.311,4.211
0.401,0.190,-1.648,-135.010,-25.330,-4.700
0.367,0.172,-1.607,-149.658,-44.312,-20.142
0.225,0.076,-1.574,-164.795,-60.486,-34.058
0.023,0.026,-1.467,-186.462,-59.875,-39.124
-0.034,0.018,-1.273,-209.229,-41.687,-34.485
-0.013,-0.009,-1.066,-226.746,-18.860,-22.766
0.069,-0.061,-0.894,-239.502,-3.662,-12.085
0.225,-0.129,-0.740,-248.047,2.197,-8.179
0.324,-0.174,-0.589,-254.211,-4.578,-13.062
0.404,-0.160,-0.455,-259.338,-26.001,-25.391
0.348,-0.204,-0.385,-264.404,-57.007,-36.926
0.117,-0.308,-0.234,-274.536,-76.538,-46.570
-0.100,-0.388,-0.020,-288.574,-70.007,-49.988
-0.160,-0.470,0.312,-294.739,-40.039,-38.208
-0.152,-0.480,0.639,-286.377,-1.099,-14.526
